userID-bookID,prediction
u39027358-b98920686,4.163835534135324
u50800253-b93497672,4.348424131527762
u07295538-b19850286,4.054942385427686
u41427072-b39758017,4.165399307392648
u89648987-b25118404,4.55839838291761
u79007115-b65496180,4.299510053422077
u47468449-b14149814,4.146700387866602
u98700805-b54753020,4.56978853504224
u14045058-b83324536,4.302901902149992
u13317688-b44221918,4.541766542734276
u19134666-b68053043,4.405515042223658
u45677041-b22923888,3.3758620381238456
u26379439-b54843135,4.0045811248270455
u68977178-b75906347,4.403491590216018
u17535320-b73251948,3.107344519229554
u84662496-b46447575,4.533780597503317
u27293654-b41426361,3.6976733762631175
u12927896-b38220226,2.5613341148645548
u47786112-b46474622,3.1361272902664514
u04139377-b42804812,4.503643941139796
u24951841-b68603962,3.7097121294735786
u68025571-b97573397,3.6355364640783523
u86320083-b91991479,3.926309073511801
u99410738-b73869874,4.3012906588295
u21565230-b76159361,3.3878979744006794
u92928315-b38519922,4.526253241112522
u37811618-b23243412,3.803587493520162
u01462648-b13598775,3.7683642810465425
u56042546-b40730030,4.3203226580704035
u37816325-b63058604,4.0359740807645235
u03417713-b74017991,4.099007373061027
u12447511-b33922388,4.995737559985194
u13266697-b61865279,3.7969871178305
u03430048-b22612959,4.07761097757787
u95027656-b30117694,3.9605365550687552
u69723248-b00103111,4.283674706998679
u23930984-b46250391,3.1502521085751254
u08962201-b61988541,2.30884590608059
u93078396-b11226006,4.269677913313794
u82755011-b31786822,3.5096476735441735
u67694501-b57168174,4.068021234297212
u04464010-b22289898,3.9997894532714806
u11121515-b42593799,4.456536986642316
u87971844-b78596713,3.4038229996757106
u23487844-b47244595,4.500468353672706
u77458769-b45638984,4.878714115027405
u67450803-b91980264,2.82889293329428
u12165434-b77472466,5.02758662708892
u19089778-b60661134,3.672610732477416
u32915705-b24271867,4.162984510350758
u16827532-b89992255,3.7479061317168916
u08150317-b02859729,4.596379059027686
u50165013-b94285656,4.2517676652753
u56253731-b41396281,3.570938376411158
u82454622-b94042361,4.307293164054061
u14907256-b20566928,1.2594374825066506
u16952610-b50614745,2.1580472490239244
u35764894-b03128760,5.084142519163194
u16758202-b26569716,1.0354698261121662
u77058159-b50311376,4.677270257708447
u02552842-b14415607,3.6997656346807872
u77839057-b26929581,4.534343246473625
u47197039-b90010679,4.751929642730513
u52582086-b26747873,4.13922247245597
u04412799-b08778865,4.335102927149085
u81158299-b49534838,3.8181008292757834
u16422981-b52453648,4.676143247750048
u15479777-b92725558,2.667357114113833
u38369359-b84615430,3.793941192127836
u28587609-b02293155,4.483948654481234
u60460119-b91518918,3.802177910672568
u36774860-b21850052,3.7019310989136707
u48763151-b70343057,4.635776056673794
u45014513-b35411537,3.0663817420952313
u33810742-b61105277,4.090358425635396
u63705408-b56730076,4.0243156860980545
u03895827-b08190676,4.043970324217139
u92248123-b43221941,4.300382258786511
u99982278-b77954781,4.212335863265512
u33302848-b57487788,4.279459709761275
u35397164-b39244888,3.6362030815608386
u65501011-b39405098,5.054472047025917
u66292482-b12292730,2.850100255435397
u44160741-b96915344,4.3148687766520935
u97849328-b71442874,2.983238403197948
u57472412-b90434840,4.839697023738592
u85790706-b81553033,3.8983173037688252
u45870129-b28889278,3.996589845074885
u68529983-b45829752,4.383222727848299
u72343397-b52830033,3.1346095630362183
u74781322-b35108503,4.383624113232623
u05741869-b65332351,4.097156945306084
u63285738-b92181749,3.3133201734586812
u87004717-b79410080,4.638790670156417
u14817993-b92983199,3.925190671310082
u42435606-b18913544,3.5951136152402468
u37536402-b33238897,4.456768491034006
u43691997-b94374576,4.112583663810988
u72192728-b67034000,4.627103033389556
u85319136-b99826140,4.207546576943101
u97419487-b28542052,5.0562758609941945
u37289399-b41598050,4.847793459170341
u02454881-b65828962,2.9222717859689755
u61364932-b60578598,3.36980338606922
u63870101-b50525465,4.10078907616879
u03177556-b83958287,4.3451502964289785
u43708956-b02815615,4.033545434223182
u39575746-b40730030,3.877500962007755
u62597405-b25190768,2.8122557968756863
u08687064-b46751367,5.1609771967073375
u66325627-b36862107,4.310132038407916
u34318046-b48673395,3.89620454582263
u80739102-b48548510,4.253908931074505
u59035825-b97569735,3.429700761884722
u49451497-b56054061,3.7898958153498548
u55802170-b31893947,3.475020071380095
u74371349-b48452331,2.8666208022295168
u70262488-b13616808,4.202683802222538
u62490520-b98969438,2.8057822869624496
u68049128-b42462590,3.5197132617137536
u20828433-b36981497,3.9249902769217724
u77801777-b56978409,3.8471533442257355
u46715547-b31134850,2.79479412389494
u73626386-b95188078,4.628997388775946
u69669391-b44628110,3.5708712529659503
u38594711-b39830005,3.480558556246031
u72205925-b97698584,4.326409583063067
u74486970-b87581088,3.8666231011897128
u98244289-b77360151,4.4018021786932175
u05774943-b51975826,4.253758002826906
u36635011-b48300388,4.173728771563064
u28236395-b42593799,4.503985411941944
u10184795-b68138770,3.487996311131414
u56889670-b16475360,2.9716256124076157
u08684613-b37563785,3.704128982612151
u69898765-b15764990,4.006872237145754
u20829026-b76373308,4.055045773284586
u93259288-b12618257,3.4584888152709325
u30447175-b03216759,3.824768035959397
u21070939-b32113105,4.033570466528162
u19665570-b72012039,3.3237305770803647
u15650634-b35706413,4.712387388699773
u02690966-b91608304,3.884651486848664
u99754170-b30655078,3.7756028570230233
u41430527-b94253825,4.327658006834425
u96120123-b46346824,3.9909693436933527
u10539146-b28308114,4.090596816888818
u40416622-b22438331,4.451086321214962
u44318340-b42915496,4.034280816941538
u40360173-b87798496,4.198656818195817
u96096817-b25543219,4.071190924169938
u19508046-b47123683,3.6275691983036666
u83700545-b75242935,4.101316162397228
u83019707-b41701930,4.287886788528245
u99886892-b02949285,3.437842377069307
u07353292-b14192619,4.128400187490291
u83570201-b96354555,2.7684992695622483
u85721639-b52134151,4.2814815979526175
u78000391-b77347938,4.061487344603502
u89194811-b28356921,3.923728753017412
u13713213-b82618782,3.7795332215386632
u54230212-b36981497,4.496230863584511
u09978471-b74566344,3.570658518092321
u71136919-b13058481,4.64843208023607
u97650565-b29826062,3.4878047945066872
u54145041-b30001478,5.004391523134972
u74381389-b01715129,3.31065042850502
u81765516-b08795629,3.848794111555745
u75762311-b21622024,3.5153700766790195
u45099294-b54100266,3.861872453211357
u29843685-b95973371,4.479120236121912
u92055180-b36524125,3.825559300296278
u03694964-b78447479,4.061687282637972
u66754638-b91889823,4.165248704452927
u91435928-b85808286,3.3128517917916867
u38034420-b85072427,4.30097039344553
u08028470-b73378467,3.9981617957191165
u28165225-b51665330,3.9603129349780954
u78221139-b09236808,4.273939755556163
u14704500-b58516196,4.186425287682972
u81137716-b09549418,3.3460605718699816
u78120853-b29408666,4.109452367486369
u00155434-b92451588,4.065970754363637
u26835750-b14552903,4.216216399102403
u90616206-b94285656,4.535030586981489
u40307476-b90118109,3.6496294951199735
u39347451-b42906104,4.092165570780233
u97026933-b96106431,3.7466897054737927
u49558722-b87096310,3.2729175261654406
u73312906-b26386071,3.4039820057866095
u16435251-b76373308,3.7096831793710643
u48163024-b60992900,4.453349830832965
u17989794-b73962557,3.4988338104484127
u79022235-b66826030,4.26956275359138
u28921939-b97202547,3.191385649986688
u18521011-b32498453,3.732902229744964
u01073518-b08836462,3.3611329630449864
u08781497-b29296990,4.368711495588533
